date,fed,y2,y5,y10,fed_fitted_p,y2_q_sse,y5_q_sse,y10_q_sse,y2_q_ratio,y5_q_ratio,y10_q_ratio
2000-01-31,0.055,0.0659,0.0668,0.0667,,0.05304909777081897,0.05075922151686455,0.04816463808244496,0.05504171283691074,0.0549706965423772,0.054552874397406005
2000-02-29,0.0575,0.0652,0.066,0.0641,0.05462165714011788,0.05516276751559674,0.05243306058413906,0.049354227637166195,0.05748491480745672,0.05733189695583083,0.056785453547040975
2000-03-31,0.06,0.0648,0.0630999999999999,0.06,0.05709783380345835,0.05727643726037451,0.054106899651413555,0.05054381719188742,0.05992811677800268,0.059693097369284465,0.05901803269667594
2000-04-28,0.06,0.0668,0.0654,0.0621,0.05957401046679882,0.05727643726037451,0.054106899651413555,0.05054381719188742,0.05992811677800268,0.059693097369284465,0.05901803269667594
2000-05-31,0.065,0.0667,0.0652,0.0626999999999999,0.05957401046679882,0.06150377674993006,0.05745457778596256,0.05292299630132987,0.06481452071909463,0.06441549819619173,0.06348319099594586
2000-06-30,0.065,0.0636,0.0619,0.0603,0.06452636379347976,0.06150377674993006,0.05745457778596256,0.05292299630132987,0.06481452071909463,0.06441549819619173,0.06348319099594586
2000-07-31,0.065,0.0629,0.0615,0.0603,0.06452636379347976,0.06150377674993006,0.05745457778596256,0.05292299630132987,0.06481452071909463,0.06441549819619173,0.06348319099594586
2000-08-31,0.065,0.0616,0.0596999999999999,0.0573,0.06452636379347976,0.06150377674993006,0.05745457778596256,0.05292299630132987,0.06481452071909463,0.06441549819619173,0.06348319099594586
2000-09-29,0.065,0.0598,0.0584999999999999,0.0579999999999999,0.06452636379347976,0.06150377674993006,0.05745457778596256,0.05292299630132987,0.06481452071909463,0.06441549819619173,0.06348319099594586
2000-10-31,0.065,0.0591,0.0581,0.0575,0.06452636379347976,0.06150377674993006,0.05745457778596256,0.05292299630132987,0.06481452071909463,0.06441549819619173,0.06348319099594586
2000-11-30,0.065,0.0561,0.0542999999999999,0.0547,0.06452636379347976,0.06150377674993006,0.05745457778596256,0.05292299630132987,0.06481452071909463,0.06441549819619173,0.06348319099594586
2000-12-29,0.065,0.051,0.0498,0.0511,0.06452636379347976,0.06150377674993006,0.05745457778596256,0.05292299630132987,0.06481452071909463,0.06441549819619173,0.06348319099594586
