,mean,std,min,max
Inflation,2.5480530831099197,1.6066380290265738,-2.0972,9.0597
Fed Rates,2.5552010723860588,2.239488534829606,0.05,6.54
Capacity Utilization Rate,77.96779490616623,3.6083177919629748,64.0847,84.8918
